TrustOnSociety,AccuracyCheck,SM_NewsTrust,NoTrust_In_SM_News,SM_NewsSource
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
